x	y	label	showSelected	group
0.954545454545455	0.497486173956762	x	0	1
0.486424492088756	0.954545454545454	y	0	1
0.486424492088756	0.497486173956762	z	0	1
0.953141091658084	0.497943233237351	x	0.0666666666666667	1
0.486892613051212	0.954545454545454	y	0.0666666666666667	1
0.519661080423181	0.490630284747932	z	0.0666666666666667	1
0.949864244920888	0.49840029251794	x	0.133333333333333	1
0.487360734013669	0.954545454545454	y	0.133333333333333	1
0.552897668757607	0.483317336258513	z	0.133333333333333	1
0.943778672408951	0.499771470359706	x	0.2	1
0.488765096901039	0.954088395264866	y	0.2	1
0.585666136129576	0.476461447049682	z	0.2	1
0.935820616047187	0.50159970748206	x	0.266666666666667	1
0.490637580750866	0.953631335984277	y	0.266666666666667	1
0.617966482539088	0.470062617121441	z	0.266666666666667	1
0.925053833910683	0.503427944604415	x	0.333333333333333	1
0.492510064600693	0.953174276703688	y	0.333333333333333	1
0.649330587023687	0.46320672791261	z	0.333333333333333	1
0.912414567924352	0.506170300287947	x	0.4	1
0.495318790375433	0.9527172174231	y	0.4	1
0.680226570545829	0.456807897984369	z	0.4	1
0.897902818088194	0.509369715252068	x	0.466666666666667	1
0.49859563711263	0.951803098861922	y	0.466666666666667	1
0.709718191180601	0.450409068056127	z	0.466666666666667	1
0.880582342477296	0.513026189496778	x	0.533333333333333	1
0.502340604812284	0.951346039581334	y	0.533333333333333	1
0.73827356989046	0.444467297408474	z	0.533333333333333	1
0.861857503979028	0.517139723022076	x	0.6	1
0.506553693474394	0.950431921020156	y	0.6	1
0.765424585712948	0.43898258604141	z	0.6	1
0.841260181630934	0.521253256547374	x	0.666666666666667	1
0.510766782136504	0.949517802458979	y	0.666666666666667	1
0.791171238648067	0.433497874674345	z	0.666666666666667	1
0.818790375433012	0.52628090863385	x	0.733333333333333	1
0.515916112723528	0.948603683897802	y	0.733333333333333	1
0.815045407733358	0.42847022258787	z	0.733333333333333	1
0.794448085385264	0.531308560720325	x	0.8	1
0.521065443310551	0.947232506056035	y	0.8	1
